# transitions-schema: gororoba-legacy-patch-transitions-v1
patch_index	patch	patch_sha256	input_tree	output_tree	effect_diff_sha256	apply_engine	alternate_engine_result	files_changed	atoms	lines_added	lines_removed
33	0036-rs480-skip-discrete-r300-mc-idle-wait-on-igp.patch	d7af69e31ef8e86b8eb69559abc674f5bcd679ef61c9f8c33565184fb5cbcbfc	db62924eee07a7b2a93c3ef2841abd7ac4667ef0	b55201e249d93f0972e1413d7cc9b78bcfaa1ebd	1ec50f80fe5e7ace7c777885a2e7d441ee53bf41fef93b0307a5b9aee052b425	git-apply	accepts-identical-tree	1	1	9	1
34	0037-rs480-force-clock-undoc-4xxx-probe-table.patch	971f82aa6572dca397dc97d582a3cbf611fbda35aacbf95b933bae590859b3f0	b55201e249d93f0972e1413d7cc9b78bcfaa1ebd	8ebd7f6e306fa33b3a488a9334c540aeb916382c	1bbfd95e46998fd51461ec954bad977a667e9138697e1bf36b6ca7f5f34a350f	git-apply	accepts-identical-tree	1	1	195	0
35	0038-rs480-cp-me-inject-idle-gate.patch	69d06af367d869baefd0b2f9afb9a7564f0a12edc4ea908578cbda02eef4e317	8ebd7f6e306fa33b3a488a9334c540aeb916382c	8844aa0ba03367c5595187f5303537f47fac4ec9	cc643c71355e6fc547d6a35290377852888ef65bfacb7234c06ddfbaa1072e28	git-apply	accepts-identical-tree	1	3	33	3
36	0039-rs480-cp-ib-scratch-baseline-oracle-debugfs.patch	4db590fb082910b87b68692ae6a16d95b468744dabd6cd9ee22a1eaaf4e2e7d3	8844aa0ba03367c5595187f5303537f47fac4ec9	1c9545da4e5c07682a21ae67bf761a0479378d22	ca07b959e424dd6bee5e10693493b8d78e2c93e0124c58d289c02876b8d348e0	git-apply	accepts-identical-tree	3	5	78	0
37	0040-rs480-gpu-reset-recover-probe-debugfs.patch	f8b4114e670f24c399effddaed2b2768266f4ca41baaed48b3f9c211a1d3b011	1c9545da4e5c07682a21ae67bf761a0479378d22	0450c22c460ae78f55af9775bde6e3f40f80e991	b59f7195531149613935af7ee345558d8e9e3c6d7c73130d09863c03f92a66ca	git-apply	accepts-identical-tree	3	5	102	0
38	0041-rs480-rbbm-soft-reset-recovery-probe-debugfs.patch	a99ef00f43ca49d01f06eb8041a675712d824c4a19f81c7191b5e9da5b417a49	0450c22c460ae78f55af9775bde6e3f40f80e991	e68932136d33b2d87f92e0197519dc3dd13cb7ce	7d0a1c7a400b2b6719efb4ea0b5b093ff16917109c948ed8b39a79b303154929	git-apply	accepts-identical-tree	3	5	168	0
39	0042-rs480-blit-busy-reset-recovery-probe-debugfs.patch	cf950319e668bc60198ac907df65aba3ca1e7a05cc64dbe680ed8916db58ba5a	e68932136d33b2d87f92e0197519dc3dd13cb7ce	05fafce339cbba80569e016c76009859458b1084	b003e272bb8f602cdf7f028f6b94ba88fa8f57b0915d4ec0af646f478eafe427	git-apply	accepts-identical-tree	2	5	84	5
40	0043-rs480-r300-asic-reset-force-clock-production-path.patch	cb3aaeab39c5655c6126574f57252609482b2efae025cec1dd2e248498d2d2b0	05fafce339cbba80569e016c76009859458b1084	b6096a060c04c7728e3882e88287c96add07922e	a6ad56cc86ea364ed32818052a5496b6c5b45eeb83279ae66f5c932987e9189c	git-apply	accepts-identical-tree	1	3	25	1
41	0044-rs480-wedged-3d-production-reset-recovery-probe.patch	78aa710995bc2bd41840737d3e69badf11286d3803d847c11505fa3301bf58d6	b6096a060c04c7728e3882e88287c96add07922e	82642f59c6153587b11f04dec78437c853e2b18c	f9d5b805646d1fa8be01fe4ef0172bd37b292cbc5dd1d9f67f6d4363e3476b19	git-apply	accepts-identical-tree	2	4	99	5
42	0045-rs480-wedge-safe-crash-shim-gated-3d-readback.patch	654f42b815258e8a2e5f0caab2b1bd6acd1573f9bc1e0df04fc5211b3087eaed	82642f59c6153587b11f04dec78437c853e2b18c	0f7612c957c9188a95d665112411a2cafdcd72bd	88a0b19daf8d69033486325abded8299c48108e8cded2871498bb223a93891fc	git-apply	accepts-identical-tree	1	1	23	5
